Time(ms),S1_Voltage,S2_Voltage,S3_Voltage,S4_Voltage,S5_Voltage,S6_Voltage,S1_Resistance,S2_Resistance,S3_Resistance,S4_Resistance,S5_Resistance,S6_Resistance
1325,0.012903,0.003226,0.003226,0.006452,0.006452,0.003226,3.218842,0.802348,0.802348,1.606268,1.606268,0.802348
1342,0.006452,0.003226,0.006452,0.006452,0.003226,0,1.606268,0.802348,1.606268,1.606268,0.802348,-1
1358,0.009677,0.025806,0.025806,0.003226,0.006452,0,2.411765,6.463054,6.463054,0.802348,1.606268,-1
1375,0.012903,0.003226,0,0.009677,0.006452,0,3.218842,0.802348,-1,2.411765,1.606268,-1
1392,0.009677,0.022581,0.006452,0.003226,0.006452,0.003226,2.411765,5.649606,1.606268,0.802348,1.606268,0.802348
1409,0.012903,0.006452,0.003226,0.009677,0.006452,0.003226,3.218842,1.606268,0.802348,2.411765,1.606268,0.802348
1425,0.006452,0,0.003226,0.006452,0,0.009677,1.606268,-1,0.802348,1.606268,-1,2.411765
1442,0.016129,0,0.006452,0.006452,0,0.006452,4.027505,-1,1.606268,1.606268,-1,1.606268
1459,0.019355,0.006452,0.003226,0.003226,0.003226,0.003226,4.837758,1.606268,0.802348,0.802348,0.802348,0.802348
1476,0.006452,0,0.003226,0,0,0.003226,1.606268,-1,0.802348,-1,-1,0.802348
1492,0.006452,0.012903,0.006452,0,0,0,1.606268,3.218842,1.606268,-1,-1,-1
1509,0.009677,0.003226,0.006452,0.006452,0,0,2.411765,0.802348,1.606268,1.606268,-1,-1
1525,0.006452,0.003226,0.009677,0.003226,0.003226,0.025806,1.606268,0.802348,2.411765,0.802348,0.802348,6.463054
1542,0.009677,0,0.006452,0.006452,0.006452,0.003226,2.411765,-1,1.606268,1.606268,1.606268,0.802348
1559,0.009677,0.003226,0.003226,0.006452,0.006452,0.003226,2.411765,0.802348,0.802348,1.606268,1.606268,0.802348
1576,0.009677,0.012903,0.003226,0,0.003226,0,2.411765,3.218842,0.802348,-1,0.802348,-1
1593,0.003226,0.003226,0.006452,0,0.009677,0.012903,0.802348,0.802348,1.606268,-1,2.411765,3.218842
1609,0.006452,0.009677,0.009677,0.009677,0.006452,0.003226,1.606268,2.411765,2.411765,2.411765,1.606268,0.802348
1627,0,0.003226,0.006452,0.003226,0.022581,0.006452,-1,0.802348,1.606268,0.802348,5.649606,1.606268
1643,0.003226,0,0.003226,0.003226,0.006452,0,0.802348,-1,0.802348,0.802348,1.606268,-1
1660,0.006452,0.003226,0.019355,0.003226,0.003226,0.006452,1.606268,0.802348,4.837758,0.802348,0.802348,1.606268
1677,0.006452,0,0.006452,0.006452,0.006452,0.003226,1.606268,-1,1.606268,1.606268,1.606268,0.802348
1694,0.009677,0,0.006452,0,0.006452,0.003226,2.411765,-1,1.606268,-1,1.606268,0.802348
1710,0.012903,0.009677,0.009677,0.009677,0.006452,0.006452,3.218842,2.411765,2.411765,2.411765,1.606268,1.606268
1727,0.009677,0.003226,0,0,0.003226,0.006452,2.411765,0.802348,-1,-1,0.802348,1.606268
1744,0.012903,0.003226,0.016129,0.003226,0.006452,0.006452,3.218842,0.802348,4.027505,0.802348,1.606268,1.606268
1761,0.009677,0.006452,0.006452,0.006452,0.003226,0.003226,2.411765,1.606268,1.606268,1.606268,0.802348,0.802348
1777,0.012903,0,0.006452,0.006452,0,0.003226,3.218842,-1,1.606268,1.606268,-1,0.802348
1794,0.012903,0.006452,0,0.006452,0.003226,0,3.218842,1.606268,-1,1.606268,0.802348,-1
1811,0.003226,0.009677,0,0.003226,0.003226,0.003226,0.802348,2.411765,-1,0.802348,0.802348,0.802348
1828,0.012903,0.009677,0.006452,0,0,0.003226,3.218842,2.411765,1.606268,-1,-1,0.802348
1845,0.009677,0,0.006452,0,0,0.006452,2.411765,-1,1.606268,-1,-1,1.606268
1861,0.009677,0.006452,0.003226,0.006452,0,0.006452,2.411765,1.606268,0.802348,1.606268,-1,1.606268
1878,0.003226,0.003226,0.003226,0.006452,0.009677,0.006452,0.802348,0.802348,0.802348,1.606268,2.411765,1.606268
1895,0.006452,0,0.003226,0.003226,0.003226,0,1.606268,-1,0.802348,0.802348,0.802348,-1
1911,0.032258,0.006452,0.003226,0,0.006452,0.006452,8.094768,1.606268,0.802348,-1,1.606268,1.606268
1928,0.006452,0.003226,0.006452,0,0,0,1.606268,0.802348,1.606268,-1,-1,-1
1945,0.012903,0.009677,0.006452,0.006452,0.006452,0.009677,3.218842,2.411765,1.606268,1.606268,1.606268,2.411765
1962,0.009677,0.009677,0.006452,0,0,0.006452,2.411765,2.411765,1.606268,-1,-1,1.606268
1978,0.009677,0.006452,0,0.003226,0.003226,0.009677,2.411765,1.606268,-1,0.802348,0.802348,2.411765
1995,0.006452,0,0.003226,0.006452,0.012903,0,1.606268,-1,0.802348,1.606268,3.218842,-1
2012,0.003226,0.003226,0,0.003226,0.003226,0,0.802348,0.802348,-1,0.802348,0.802348,-1
2029,0.009677,0.009677,0.009677,0.003226,0,0.006452,2.411765,2.411765,2.411765,0.802348,-1,1.606268
2045,0.016129,0.009677,0.003226,0.006452,0.003226,0.006452,4.027505,2.411765,0.802348,1.606268,0.802348,1.606268
2062,0.012903,0.009677,0.003226,0.009677,0.006452,0.006452,3.218842,2.411765,0.802348,2.411765,1.606268,1.606268
2079,0.012903,0,0.003226,0.006452,0,0.006452,3.218842,-1,0.802348,1.606268,-1,1.606268
2096,0.009677,0.006452,0.003226,0.003226,0.012903,0.003226,2.411765,1.606268,0.802348,0.802348,3.218842,0.802348
2112,0.006452,0,0.009677,0.019355,0.006452,0.003226,1.606268,-1,2.411765,4.837758,1.606268,0.802348
2129,0.016129,0.009677,0.006452,0.006452,0.006452,0.003226,4.027505,2.411765,1.606268,1.606268,1.606268,0.802348
2146,0.009677,0,0.003226,0.006452,0,0.003226,2.411765,-1,0.802348,1.606268,-1,0.802348
2163,0.003226,0,0.006452,0.006452,0,0.006452,0.802348,-1,1.606268,1.606268,-1,1.606268
2180,0.009677,0,0,0.003226,0,0,2.411765,-1,-1,0.802348,-1,-1
2196,0.006452,0.003226,0.009677,0.003226,0.003226,0.006452,1.606268,0.802348,2.411765,0.802348,0.802348,1.606268
2213,0.012903,0.003226,0.003226,0.006452,0.003226,0.003226,3.218842,0.802348,0.802348,1.606268,0.802348,0.802348
2230,0.016129,0.006452,0.003226,0.003226,0.006452,0.003226,4.027505,1.606268,0.802348,0.802348,1.606268,0.802348
2247,0.012903,0.003226,0.016129,0.003226,0.003226,0,3.218842,0.802348,4.027505,0.802348,0.802348,-1
2264,0.009677,0.009677,0,0.009677,0.003226,0,2.411765,2.411765,-1,2.411765,0.802348,-1
2280,0,0,0,0,0,0.003226,-1,-1,-1,-1,-1,0.802348
2297,0.006452,0.003226,0.006452,0.006452,0.006452,0.003226,1.606268,0.802348,1.606268,1.606268,1.606268,0.802348
2314,0.006452,0.003226,0.003226,0.003226,0.003226,0.006452,1.606268,0.802348,0.802348,0.802348,0.802348,1.606268
2330,0.003226,0.009677,0.009677,0.006452,0.006452,0.003226,0.802348,2.411765,2.411765,1.606268,1.606268,0.802348
2347,0.006452,0.006452,0,0.003226,0.003226,0.006452,1.606268,1.606268,-1,0.802348,0.802348,1.606268
2364,0,0,0.003226,0.003226,0,0,-1,-1,0.802348,0.802348,-1,-1
2381,0.006452,0.003226,0.009677,0.009677,0.019355,0.003226,1.606268,0.802348,2.411765,2.411765,4.837758,0.802348
2397,0.009677,0.006452,0.006452,0.006452,0.006452,0.009677,2.411765,1.606268,1.606268,1.606268,1.606268,2.411765
